IDRSSD,FDIC Certificate Number,OCC Charter Number,OTS Docket Number,Primary ABA Routing Number,Financial Institution Name,Financial Institution Name Cleaned,Financial Institution Address,Financial Institution City,Financial Institution State,Financial Institution Zip Code,Financial Institution Zip Code 5,Financial Institution Filing Type,Last Date/Time Submission Updated On
37,10057,0,16553,61107146,BANK OF HANCOCK COUNTY,BANK OF HANCOCK COUNTY,12855 BROAD STREET ,SPARTA,GA,31087,31087,41,2014-10-24T16:36:37
242,3850,0,0,81220537,FIRST COMMUNITY BANK XENIA-FLORA,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET ,XENIA,IL,62899,62899,41,2014-10-28T12:58:37
"279,28868,0,2523,311972526,""MINEOLA COMMUNITY BANK, SSB"",""MINEOLA COMMUNITY BANK, SSB"",215 W BROAD ,MINEOLA,TX,75773,75773,41,2014-10-28T14:04:07"
354,14083,0,0,101107475,BISON STATE BANK,BISON STATE BANK,223 MAIN STREET ,BISON,KS,67520,67520,41,2014-10-23T13:12:50
457,10202,0,0,91208332,LOWRY STATE BANK,LOWRY STATE BANK,400 FLORENCE AVE. ,LOWRY,MN,56349,56349,41,2014-10-14T11:52:12
505,6959,1253,0,21304675,BALLSTON SPA NATIONAL BANK,BALLSTON SPA NATIONAL BANK,87 FRONT STREET ,BALLSTON SPA,NY,12020,12020,41,2014-10-27T09:23:49
1155,17639,0,0,104900116,FIRST STATE BANK & TRUST COMPANY,FIRST STATE BANK AND TRUST COMPANY,1005 EAST 23RD ,FREMONT,NE,68025,68025,41,2014-10-17T16:07:04
1351,9392,0,0,81513969,BANK OF GRANDIN,BANK OF GRANDIN,403 5TH STREET ,GRANDIN,MO,63943,63943,41,2014-10-14T14:44:24
1454,19184,15359,0,102301199,HILLTOP NATIONAL BANK,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD ,CASPER,WY,82609,82609,41,2014-10-29T20:00:56
"1557,15328,0,0,101103068,""FIRST STATE BANK, KIOWA, KANSAS, THE"",""FIRST STATE BANK, KIOWA, KANSAS"",546 MAIN STREET ,KIOWA,KS,67070,67070,41,2014-10-06T11:45:32"
