CIK,IRS_NUMBER,CONFORMED_NAME,MinOfFILING_DATE,FORMER_CONFORMED_NAME,FORMER_NAME_CHANGED,ASSIGNED_SIC,I_COUNTRY,I_STPR,B_STREET,B_STREET1,B_STREET2,B_CITY,B_STPR,B_POSTAL,B_COUNTRY,B_PHONE,M_STREET,M_STREET1,M_STREET2,M_CITY,M_STPR,M_POSTAL,M_COUNTRY
20,221759452,K TRON INTERNATIONAL INC,20080722,,,3823,US,NJ,ROUTE 55 & 553 BOX 888,ROUTE 55 & 553,BOX 888,PITMAN,NJ,08071-0888,US,8562563318,ROUTE 55 & 553 P O BOX 888,ROUTE 55 & 553,P O BOX 888,PITMAN,NJ,08071-0888,US
1750,362334820,AAR CORP,20080605,ALLEN AIRCRAFT RADIO INC,19700204,3720,US,DE,1100 N WOOD DALE RD ,1100 N WOOD DALE RD,,WOOD DALE,IL,60191,US,6302272000,1100 N WOOD DALE RD ,1100 N WOOD DALE RD,,WOOD DALE,IL,60191,US
1800,360698440,ABBOTT LABORATORIES,20080703,,,2834,US,IL,100 ABBOTT PARK ROAD D-322 AP6D,100 ABBOTT PARK ROAD,D-322 AP6D,ABBOTT PARK,IL,60064-3500,US,8479376100, ,,,,,,
1841,132833083,ABEL/NOSER CORPORATION,20090317,ABEL NOSER CORP                                         /BD,20000101,,US,NY,ONE BATTERY PARK PLAZA 6TH FLOOR,ONE BATTERY PARK PLAZA,6TH FLOOR,NEW YORK,NY,10004,US,646-432-4170,ONE BATTERY PARK PLAZA 6TH FLOOR,ONE BATTERY PARK PLAZA,6TH FLOOR,NEW YORK,NY,10004,US
"1853,826008492,""MOTIVNATION, INC."",20080612,ABERDEEN IDAHO MINING CO,20000101,3711,,,""18101 VON KARMAN AVE., SUITE 330 "",""18101 VON KARMAN AVE., SUITE 330"",,IRVINE,CA,92612,US,949-888-8060,""18101 VON KARMAN AVE., SUITE 330 "",""18101 VON KARMAN AVE., SUITE 330"",,IRVINE,CA,92612,US"
"1904,911198720,""ABRAHAM & CO., INC."",20090401,ABRAHAM & CO INC                                        /BD,20000101,,US,WA,3724 47TH STREET CT. NW ,3724 47TH STREET CT. NW,,GIG HARBOR,WA,98335,US,253-851-7486,3724 47TH STREET CT. NW ,3724 47TH STREET CT. NW,,GIG HARBOR,WA,98335,US"
"1918,431797570,WIZER FINANCIAL. INC.,20100311,""WIZER FINANCIAL, INC."",20071113,,US,DE,1829 EAST SPRING STREET SUITE 201,1829 EAST SPRING STREET,SUITE 201,NEW ALBANY,IN,47150,US,812-944-9776,1829 EAST SPRING STREET SUITE 201,1829 EAST SPRING STREET,SUITE 201,NEW ALBANY,IN,47150,US"
"1923,580522129,""SERVIDYNE, INC."",20080730,ABRAMS INDUSTRIES INC,19920703,1540,US,GA,""1945 THE EXCHANGE, SE SUITE 300"",""1945 THE EXCHANGE, SE"",SUITE 300,ALTANTA,GA,30339-2029,US,7709530304,""1945 THE EXCHANGE, SE SUITE 300"",""1945 THE EXCHANGE, SE"",SUITE 300,ATLANTA,GA,30339-2029,US"
"1961,221848316,WORLDS INC,20111122,""WORLDS.COM, INC."",20080521,7372,US,NJ,11 ROYAL ROAD ,11 ROYAL ROAD,,BROOKLINE,MA,2445,US,617-725-8900,11 ROYAL ROAD ,11 ROYAL ROAD,,BROOKLINE,MA,2445,US"
1969,730766924,AMETECH INC,20130916,ACADEMY COMPUTING CORP,19910123,4955,US,OK,1813 SE 25TH ST ,1813 SE 25TH ST,,OKLAHOMA CITY,OK,73129,US,4056778781, ,,,,,,
