FFIEC_ID	LEI_ID	TYPE
68756	549300465MKS092D5K02	TP
63069	593C3GZG957YOJPS2Z63	TP
3560783	549300KIB2BK64XF5262	TP
1356768	5493008ZK5SW6NTWB533	TP
3470985	549300DCFF8W6ZAEKH70	TP
892205	549300KV83NH6PNL5E48	TP
99376	5493001GAASLCSP1PB64	TP
446877	549300BST16INX89WU46	TP
918918	8HWWA59ZS6Z54QLX6S15	TP
664756	549300D003QRZFSQ4N43	TP
2735146	5Z1UQ1CWY0DQ3KJWDQ07	TP
2624400	3HICJPQ15PGZSBFDNJ82	TP
3429059	R6KJ2D7C3UT8OVTWHS39	TP
790534	5493000GILM1NLFEP988	TP
128904	X8V2II80XTQHRH7NCB19	TP
881544	549300RU8LL1ICWWL303	TP
67311	1OWDXUQZTNL3CMVDJO53	TP
437914	5493005DKMV1IHIM8E20	TP
161602	549300RM7ARTTP3T1V93	TP
504713	6BYL5QZYBDK8S7L73M02	TP
183770	549300BOX0L2YKKXKO38	TP
2119773	9LIMABRJ9VPV74PBJB17	TP
3303298	DRMSV1Q0EKMEXLAU1P80	TP
802866	0K2D5AK28E3O5CC06E35	TP
964700	OLO8RKM2RJ2ICV6SJH34	TP
2333298	BRMFSB724YSBQNIBI571	TP
936462	549300TF1E42EUFBSL45	TP
581376	5U85JMGQVRUUD6EAS211	TP
479446	5493002PU0KOD7M34E71	TP
843177	ZHTUZ2LX0AMR7OUUJS53	TP
17147	S0Q3AHZRL5K6VQE35M07	TP
436739	549300OVNJWJXYPGIU28	TP
1917301	5493004MWCDBCBTXE044	TP
114840	549300JOYC0RUSF9DL04	TP
354310	549300LBK5BTNFKZJD14	TP
354552	549300IY6RZNCBF0QZ14	TP
3013823	549300PZXSGE8V4F6I85	TP
836843	549300LZLYU85WF65870	TP
595430	549300KX2KT8MOAS5Q71	TP
2634351	549300M5D5Q2KMDSMP10	TP
28152	54930076NULTCIRS5P09	TP
56557	549300SZNJD0HVTNYS90	TP
3109043	549300X5I608U02HAI25	TP
768953	5493003KAGPHV2OJT577	TP
936136	B94HV8SXGDD3J5XESU08	TP
527954	LDVFX8JEECFFE8HRWA73	TP
601050	7DMUJTL9FFTVIAG9H788	TP
574976	549300DU4JZVSGF3G964	TP
587800	549300KWXO8FUM7L0E14	TP
3076248	CKVBED0S4DMLKJJ5XH28	TP
808260	OZ7MS5KHJY6WIPGXQW23	TP
774262	549300Y5YUNNHUW2EQ06	TP
288853	5493009V3WNJX9V2GZ85	TP
917742	ZF85QS7OXKPBG52R7N18	TP
3537897	549300PRGFYLAPHKI777	TP
317342	4LJGQ9KJ9S0CP4B1FY29	TP
501105	WWB2V0FCW3A0EE3ZJN75	TP
3717167	549300M0PD2X63HUPF20	TP
1444021	549300RK1FB0VMTPD087	TP
1001648	549300CP7747DCRW6U68	TP
2808602	54930044OSTKOJMHF287	TP
207845	5493001SSNVCONGBH947	TP
506922	549300NQA30MEKPQP417	TP
1009242	549300YXOCZOXWKDIT11	TP
3475083	5493002GQNJKJONGBS18	TP
398350	54930007N7B3W7X2B812	TP
342634	01J4SO3XTWZF4PP38209	TP
994435	549300OPKCV6BLMDSL66	TP
3614369	549300UZ0S304OY8EI70	TP
264772	549300DFPDZFD8DWQX71	TP
455552	549300NQ6JHMRWQ5IH65	TP
260055	OYWNLMHNBQQ7BAH3EE86	TP
930965	O4Y7EKCXHW1SOHRFNV75	TP
3718548	54930085QK3GFA652L22	TP
613008	TKT6FH38184ZYBTPKS77	TP
169653	549300DT7WZ1SOTNFJ62	TP
3076220	JY55GUVP9NLVWS4QEU03	TP
537449	549300F247N2IU8SC024	TP
2970657	2I8LP0RLR14D1X6W0P51	TP
679826	549300QOAILVEMX3WQ19	TP
