FFIEC_ID	SEC_ID	TYPE
436711	1430521	TP
618740	1594492	TP
63069	275216	TP
3348888	1552682	TP
895710	1520684	TP
2569387	1317103	TP
2868352	1085338	TP
2868352	1145956	TP
659855	1125727	TP
150035	1394833	TP
645317	1054257	TP
128904	1126395	TP
627108	936938	TP
3688043	1455267	TP
67311	839303	TP
437914	1504913	TP
437914	1545030	TP
161602	1074266	TP
161602	1377969	TP
485559	230234	TP
541101	1497973	TP
326858	1021579	TP
2881445	1103653	TP
930358	216196	TP
2713920	1135986	TP
489913	819975	TP
522605	1506242	TP
205654	1282186	TP
2745529	1083097	TP
422433	857128	TP
964700	1172928	TP
773742	1023613	TP
4589857	1389884	TP
4589857	1608102	TP
210434	919972	TP
540926	1542445	TP
2634351	1050214	TP
3223408	1327356	TP
58971	861787	TP
601050	320279	TP
601050	1009076	TP
527954	36644	TP
214807	1173854	TP
736206	1074272	TP
4262543	1518952	TP
3447875	1489963	TP
75633	1526648	TP
75633	823686	TP
702117	898413	TP
317342	741073	TP
501105	899227	TP
2826017	314949	TP
1444021	913414	TP
1820979	1008937	TP
2912750	1158274	TP
506922	1457833	TP
682611	1548505	TP
852218	835271	TP
2489805	1534177	TP
60143	901541	TP
3229875	1277303	TP
3262788	1366469	TP
3310287	1326232	TP
342634	839291	TP
828651	891340	TP
3689385	1425014	TP
304913	1370961	TP
2243977	1585616	TP
3284490	1484928	TP
3547131	1537720	TP
980661	764106	TP
613008	84616	TP
557858	1034771	TP
606046	1299939	TP
1007015	1175954	TP
866000	902882	TP
3058114	1299582	TP
37640	714395	TP
184142	838293	TP
393953	838041	TP
3308145	1458396	TP
529958	760547	TP
573036	1069344	TP
526452	1541523	TP
804963	1053931	TP
975751	1607902	TP
476810	928158	TP
11275	1302687	TP
7009	11790	TP
2980209	1551423	TP
680813	839260	TP
824550	1086555	TP
42420	1362556	TP
2797210	1102256	TP
62110	866998	TP
976703	316744	TP
596848	1505486	TP
688079	1542384	TP
4149037	1497372	TP
4149037	1615947	TP
936855	854729	TP
936855	933429	TP
936855	900297	TP
936855	735210	TP
936855	1145959	TP
2736451	1142017	TP
663245	825127	TP
1402610	1022115	TP
642549	933482	TP
160614	941407	TP
4125778	1592412	TP
165628	1315339	TP
105026	1290497	TP
266244	1487584	TP
676656	1430805	TP
17110	842941	TP
69678	1079398	TP
723112	35528	TP
958727	939835	TP
1404481	866160	TP
61832	1423045	TP
1459034	1492166	TP
439404	1459537	TP
675332	839552	TP
408642	795411	TP
1160853	1086555	TP
2600039	1145892	TP
3313943	1549588	TP
12311	49205	TP
4146830	1497476	TP
413208	1582152	TP
2864729	1371653	TP
49821	1156185	TP
761806	1105837	TP
2858960	1505494	TP
3306280	1318609	TP
2265456	1537825	TP
2265456	1604325	TP
137915	1317660	TP
173306	853452	TP
35301	93748	TP
548267	1021451	TP
2796277	1110806	TP
750127	1391981	TP
991340	805677	TP
734538	825095	TP
693345	1078211	TP
3459207	1468940	TP
682563	778167	TP
227179	1140675	TP
613307	1517107	TP
2354985	1478487	TP
3142358	1280281	TP
451965	740906	TP
280110	1089877	TP
212465	16287	TP
795968	315080	TP
661308	919192	TP
107244	1569650	TP
1918344	1492165	TP
2757205	1145896	TP
816603	1079736	TP
3939240	1466052	TP
969424	949054	TP
933256	839266	TP
852973	1006435	TP
418249	894309	TP
637451	1534401	TP
2262718	1259075	TP
645625	877134	TP
884303	790354	TP
1842065	1279912	TP
731247	1309148	TP
945026	838685	TP
3402575	1477116	TP
619877	908392	TP
1007417	1339908	TP
542649	919087	TP
765019	900974	TP
339858	9634	TP
339858	855870	TP
339858	825104	TP
2716547	1091559	TP
1190476	1482756	TP
3017081	1141802	TP
697633	844928	TP
2132941	1394644	TP
330239	1615895	TP
39420	842581	TP
509811	1291629	TP
58243	902143	TP
474919	883782	TP
480228	9586	TP
3066025	1379383	TP
449935	1209324	TP
1962888	872078	TP
3329702	1506339	TP
718145	1395115	TP
476539	838468	TP
2845782	1326197	TP
2337335	735210	TP
2337335	854729	TP
212018	1227023	TP
280044	838318	TP
2180410	1135439	TP
190639	736930	TP
219343	1272346	TP
3282692	1469946	TP
2618780	1379244	TP
929352	1002672	TP
2328285	1277557	TP
933621	1101250	TP
419406	1352675	TP
419406	1460584	TP
944627	1429929	TP
1010930	1044330	TP
2531991	1145695	TP
491224	1092203	TP
972732	838729	TP
398668	1371431	TP
514066	1422508	TP
284190	1463847	TP
3529315	1127999	TP
463203	867457	TP
1386251	1397265	TP
3192960	1259392	TP
399517	1400380	TP
353555	1053013	TP
364449	1075699	TP
660927	1218371	TP
435349	1510201	Ambiguous
233031	1401565	Ambiguous
463735	879089	Ambiguous
972406	829937	Ambiguous
370020	1178963	Ambiguous
817824	1008932	Ambiguous
1933927	1358096	Ambiguous
488318	1179131	Ambiguous
539032	1452491	Ambiguous
99376	1577313	Ambiguous
709358	1609985	Ambiguous
578237	1609656	Ambiguous
853952	1040501	Ambiguous
787253	838617	Ambiguous
2735146	1577019	Ambiguous
450856	1259968	Ambiguous
61122	1214183	Ambiguous
3429059	1259968	Ambiguous
1001152	838632	Ambiguous
1863097	1310658	Ambiguous
215710	838587	Ambiguous
212522	1597099	Ambiguous
498317	839147	Ambiguous
713926	838852	Ambiguous
413208	1388002	Ambiguous
541101	854922	Ambiguous
326858	1085041	Ambiguous
480228	1056941	Ambiguous
480228	1102113	Ambiguous
931207	14661	Ambiguous
112837	47288	Ambiguous
489913	869090	Ambiguous
852320	838135	Ambiguous
2265456	905571	Ambiguous
114260	838874	Ambiguous
1442661	1209324	Ambiguous
35301	823722	Ambiguous
35301	839287	Ambiguous
35301	1528143	Ambiguous
35301	894327	Ambiguous
656377	936528	Ambiguous
804963	59951	Ambiguous
804963	1411135	Ambiguous
2325882	1370965	Ambiguous
3545324	1360683	Ambiguous
2337335	900297	Ambiguous
2337335	1145959	Ambiguous
271136	838392	Ambiguous
677176	1213066	Ambiguous
210434	838981	Ambiguous
991340	356264	Ambiguous
3555695	8177	Ambiguous
479268	1387723	Ambiguous
734538	775551	Ambiguous
3153288	1466963	Ambiguous
489623	1457815	Ambiguous
663450	838392	Ambiguous
660655	1272164	Ambiguous
77851	1285223	Ambiguous
276579	797595	Ambiguous
276579	825106	Ambiguous
276579	839196	Ambiguous
601050	830671	Ambiguous
601050	838596	Ambiguous
601050	1567137	Ambiguous
214807	839097	Ambiguous
212465	734897	Ambiguous
4262543	1611785	Ambiguous
754853	1313871	Ambiguous
1883321	36066	Ambiguous
